backend,seed,inter_node_distance_km,database_size_log,num_nodes,query_id,src,dst,hop_distance,success,failure_reason,tts_ms,fidelity,pair_arrival_ms
acp_m6,42,10.0,10,25,15,router_8,router_12,5,True,,1091.40987501,0.8367792825788304,20.190;61.111;75.031;78.751;98.972;112.892;119.061;132.232;153.242;182.643;195.543;224.013;232.984;253.954;267.424;274.144;324.065;346.715;367.116;381.516;395.606;804.546;812.016;818.737;832.437;862.727;867.947;888.508;900.577;905.797;922.627;934.027;944.498;959.828;971.978;1022.379;1045.029;1056.879;1070.800;1074.220;1086.190;1091.410
acp_m6,42,10.0,10,25,16,router_8,router_12,5,True,,1164.61153751,0.8348238507996383,30.691;40.381;61.741;67.681;90.121;105.272;126.422;137.342;147.812;162.752;178.443;206.883;228.573;249.514;258.454;293.644;326.615;367.086;379.776;387.216;398.616;847.697;865.637;882.077;895.517;902.108;908.208;920.408;950.708;970.509;974.229;1005.309;1013.109;1022.349;1057.750;1084.720;1087.690;1095.010;1122.911;1143.311;1153.211;1164.612
acp_m6,42,10.0,10,25,17,router_8,router_12,5,True,,915.46536251,0.8394499282056909,32.281;40.890;55.080;79.441;104.161;127.592;141.152;161.342;168.842;183.392;192.032;203.942;209.132;218.423;237.863;246.323;259.853;266.453;273.623;280.013;290.484;702.124;711.124;727.624;740.344;745.564;763.505;771.874;780.094;790.024;793.615;813.835;816.475;832.165;851.635;863.955;871.005;883.825;894.175;901.605;909.525;915.465
acp_m6,42,10.0,10,25,9,router_11,router_12,1,True,,299.30185001,0.9892827460834612,3.300;6.000;11.100;17.400;21.000;23.700;25.200;27.901;32.401;36.301;37.501;43.801;47.101;51.001;51.301;55.801;59.401;60.901;62.401;66.301;67.801;268.101;268.401;269.301;270.201;271.701;272.601;274.101;276.801;280.702;282.802;287.302;290.602;290.902;291.802;292.702;293.602;293.902;296.002;298.102;299.002;299.302
acp_m6,42,10.0,10,25,10,router_11,router_12,1,True,,344.60281251,0.9895563697087326,6.600;6.900;19.200;24.900;40.201;42.901;45.301;49.201;51.901;52.201;55.201;56.101;58.201;58.801;63.301;64.801;65.701;67.801;69.301;75.601;79.802;281.902;287.302;287.902;288.802;296.902;304.402;305.302;307.702;308.302;309.802;310.702;311.002;313.102;319.402;321.202;326.002;327.502;333.503;336.203;342.503;344.603
acp_m6,42,10.0,10,25,11,router_11,router_12,1,True,,323.60245001,0.9897487027720802,1.800;2.400;3.000;13.500;22.800;33.601;34.201;35.101;36.301;38.401;38.701;41.101;42.601;46.501;52.201;60.901;66.901;67.201;68.101;71.101;72.001;274.701;277.102;281.902;285.202;287.002;288.802;290.602;294.802;295.402;302.602;306.502;307.402;308.302;309.502;310.102;311.302;315.202;316.402;320.302;321.802;323.602
acp_m6,42,10.0,10,25,3,router_13,router_12,5,True,,1061.03783751,0.8381799416466688,27.391;36.061;54.971;58.231;64.321;101.791;106.711;117.961;126.302;138.272;151.592;170.492;212.913;215.403;230.373;246.543;265.413;273.504;289.264;296.154;323.124;750.815;779.285;782.465;787.265;819.005;843.296;853.046;879.306;890.396;897.906;908.996;928.746;960.967;968.937;996.757;1003.657;1020.878;1025.348;1033.647;1048.618;1061.038
acp_m6,42,10.0,10,25,4,router_13,router_12,5,True,,1015.24712501,0.8345281271857985,25.530;49.140;59.371;65.341;74.041;79.261;91.741;97.831;106.231;118.081;122.551;131.521;146.282;157.141;161.332;181.132;189.932;201.532;212.452;220.282;236.032;664.473;670.893;677.313;692.523;710.073;713.793;722.373;735.544;742.024;762.244;777.664;799.614;804.834;818.754;844.975;872.445;924.496;964.546;988.967;999.137;1015.247
acp_m6,42,10.0,10,25,5,router_13,router_12,5,True,,881.68507501,0.8381769767482778,7.890;16.140;23.940;46.861;53.340;72.391;86.611;96.091;110.641;117.691;125.161;131.882;146.102;174.242;186.692;193.592;201.992;206.642;220.982;240.153;253.973;656.613;668.283;674.703;680.673;691.563;695.453;712.943;733.394;744.314;757.784;767.504;776.474;790.874;811.725;821.594;827.264;833.954;841.874;860.295;869.715;881.685
acp_m6,42,10.0,10,25,18,router_16,router_12,3,True,,956.93171251,0.9088240371269665,10.410;37.851;49.541;58.981;80.491;114.002;138.442;146.833;158.523;167.433;187.743;195.453;210.144;218.454;248.364;257.055;270.165;273.675;285.815;299.525;306.875;610.986;648.696;660.386;667.577;672.517;722.228;742.918;763.828;783.019;793.209;817.119;837.520;841.870;860.980;886.691;914.591;918.491;927.181;931.891;938.491;956.932
