backend,seed,inter_node_distance_km,database_size_log,num_nodes,query_id,src,dst,hop_distance,success,failure_reason,tts_ms,fidelity,pair_arrival_ms
odo,43,20.0,5,25,22,router_5,router_12,3,True,,1267.01196251,0.9030288037338146,39.961;113.602;142.162;196.803;305.364;391.005;443.566;451.166;516.806;555.367;602.968;927.528;982.169;1045.129;1088.690;1122.330;1135.970;1179.611;1213.251;1224.811;1253.452;1267.012
odo,43,20.0,5,25,23,router_5,router_12,3,True,,1296.57258751,0.9015103280218819,49.961;136.602;167.162;210.803;228.363;235.923;273.923;309.484;329.124;403.685;456.086;800.046;892.608;958.248;1054.810;1080.450;1143.011;1189.651;1220.212;1252.612;1272.172;1296.573
odo,43,20.0,5,25,24,router_6,router_12,2,True,,842.40817501,0.9468695702926783,49.601;88.601;92.001;111.802;174.803;233.203;257.804;271.204;300.604;321.205;362.605;654.006;677.006;685.406;706.806;731.207;760.607;778.007;784.207;807.608;824.008;842.408
odo,43,20.0,5,25,25,router_6,router_12,2,True,,1108.81163751,0.943914715430435,41.601;79.001;160.402;191.402;217.803;226.403;251.003;280.404;334.804;369.005;391.205;676.806;711.006;757.407;770.807;794.207;868.608;910.809;930.209;979.610;1093.011;1108.812
odo,43,20.0,5,25,26,router_6,router_12,2,True,,999.41062501,0.944683213689893,22.600;41.601;72.601;136.002;157.402;167.802;205.203;239.603;251.003;306.804;349.805;615.605;677.806;697.206;713.807;748.807;767.807;792.408;797.808;888.809;981.210;999.411
odo,43,20.0,5,25,0,router_7,router_12,3,True,,1020.84872501,0.9047777226116254,43.561;59.201;66.921;120.481;148.122;169.682;187.242;230.803;254.443;283.083;340.724;657.684;706.245;767.806;806.366;829.166;865.727;938.288;947.928;981.568;1000.208;1020.849
odo,43,20.0,5,25,1,router_7,router_12,3,True,,1271.77245001,0.9024780827816087,67.961;77.521;89.921;102.561;176.202;192.762;217.403;237.123;293.684;340.324;413.965;749.925;799.566;910.328;952.968;969.528;1001.929;1079.570;1094.210;1139.770;1204.171;1271.772
odo,43,20.0,5,25,2,router_7,router_12,3,True,,1294.69048751,0.8996257039077071,73.561;105.201;116.921;275.483;300.684;330.244;358.804;404.805;445.366;469.926;498.486;831.447;936.008;966.648;993.289;1002.929;1028.569;1069.889;1107.530;1233.171;1275.812;1294.690
odo,43,20.0,5,25,12,router_10,router_12,4,True,,1319.41137501,0.864629293384092,42.361;74.561;109.722;149.402;168.002;191.962;227.123;284.843;344.444;409.205;507.406;895.967;981.368;997.808;1014.248;1083.489;1111.449;1162.610;1212.651;1232.011;1261.251;1319.411
odo,43,20.0,5,25,13,router_10,router_12,4,True,,1374.45106251,0.8608369350310773,57.561;80.161;109.561;144.002;216.602;327.764;362.125;447.806;473.846;512.686;551.847;949.008;1039.408;1053.769;1083.809;1133.370;1155.730;1185.250;1205.491;1247.851;1344.052;1374.451
odo,43,20.0,5,25,14,router_10,router_12,4,True,,1357.77162501,0.8644190782683839,28.560;78.601;135.202;162.362;254.324;286.764;345.925;365.605;397.565;464.206;512.166;889.327;937.527;974.728;1040.289;1065.529;1107.090;1156.290;1201.930;1228.051;1279.212;1357.772
odo,43,20.0,5,25,27,router_15,router_12,2,True,,1012.81011251,0.9441129585157906,20.600;35.600;61.001;112.401;129.802;180.002;189.403;199.803;227.203;236.603;274.804;539.004;588.405;632.805;691.006;725.407;763.807;824.208;846.608;962.009;995.410;1012.810
odo,43,20.0,5,25,28,router_15,router_12,2,True,,876.20827501,0.9463545995219059,24.600;46.001;150.402;186.202;212.603;249.003;328.404;350.805;355.205;382.605;392.805;650.405;656.605;671.005;688.406;701.806;728.806;768.207;801.607;831.008;842.808;876.208
odo,43,20.0,5,25,29,router_15,router_12,2,True,,1218.01303751,0.9420992042773879,65.401;89.201;103.602;166.002;189.003;205.403;225.803;252.203;310.604;442.006;464.406;721.006;759.207;792.607;809.207;870.608;928.009;976.409;1033.810;1092.011;1163.012;1218.013
